candidate_id,rank,score,reasoning
CAND_0018499,1,0.7266,"Product-oriented AI engineer with 7.2 YoE, having shipped search/retrieval systems at Zomato and Google. Based locally in Noida, Uttar Pradesh with a 15-day notice period, matching the hybrid Cadence perfectly."
CAND_0071974,2,0.7088,"Product-oriented AI engineer with 7.8 YoE, having shipped search/retrieval systems at Netflix and Meta. Currently based in Vizag, Andhra Pradesh with a 45-day notice period; excellent engagement signals on the platform."
CAND_0044855,3,0.6693,"Product-oriented AI engineer with 6.6 YoE, having shipped search/retrieval systems at Flipkart and LinkedIn. Located in Coimbatore, Tamil Nadu but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0011162,4,0.6503,"Product-oriented AI engineer with 5.8 YoE, having shipped search/retrieval systems at upGrad and Meesho. Located in Coimbatore, Tamil Nadu but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0077337,5,0.6502,"Product-oriented AI engineer with 7.0 YoE, having shipped search/retrieval systems at Paytm and Razorpay. Located in Kochi, Kerala but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0081846,6,0.6452,"Product-oriented AI engineer with 6.7 YoE, having shipped search/retrieval systems at Razorpay and Paytm. Located in Jaipur, Rajasthan but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0005260,7,0.6445,"Product-oriented AI engineer with 5.2 YoE, having shipped search/retrieval systems at Netflix and Yellow.ai. Located in Chennai, Tamil Nadu but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0002025,8,0.6433,"Product-oriented AI engineer with 5.9 YoE, having shipped search/retrieval systems at Apple and Aganitha. Currently based in Trivandrum, Kerala with a 30-day notice period; excellent engagement signals on the platform."
CAND_0068351,9,0.6365,"Product-oriented AI engineer with 6.4 YoE, having shipped search/retrieval systems at Sarvam AI and Verloop.io. Currently based in Delhi, Delhi with a immediate availability; excellent engagement signals on the platform."
CAND_0027691,10,0.6254,"Product-oriented AI engineer with 6.5 YoE, having shipped search/retrieval systems at Haptik and Vedantu. Based locally in Pune, Maharashtra with a 15-day notice period, matching the hybrid Cadence perfectly."
CAND_0020877,11,0.6253,"Product-oriented AI engineer with 5.1 YoE, having shipped search/retrieval systems at CRED and BYJU'S. Located in Gurgaon, Haryana but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0086022,12,0.6252,"Product-oriented AI engineer with 5.3 YoE, having shipped search/retrieval systems at Sarvam AI and Uber. Located in Kolkata, West Bengal but willing to relocate to Noida/Pune; has a immediate availability."
CAND_0007009,13,0.6222,"Product-oriented AI engineer with 7.9 YoE, having shipped search/retrieval systems at Wysa and PolicyBazaar. Based locally in Noida, Uttar Pradesh with a 30-day notice period, matching the hybrid Cadence perfectly."
CAND_0088025,14,0.6209,"Product-oriented AI engineer with 8.6 YoE, having shipped search/retrieval systems at Yellow.ai and Niramai. Currently based in Jaipur, Rajasthan with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0080766,15,0.6197,"Product-oriented AI engineer with 8.8 YoE, having shipped search/retrieval systems at Salesforce and Aganitha. Located in Coimbatore, Tamil Nadu but willing to relocate to Noida/Pune; has a immediate availability."
CAND_0042029,16,0.619,"Product-oriented AI engineer with 6.5 YoE, having shipped search/retrieval systems at Flipkart and Observe.AI. Located in Delhi, Delhi but willing to relocate to Noida/Pune; has a 45-day notice period."
CAND_0046064,17,0.6186,"Product-oriented AI engineer with 8.9 YoE, having shipped search/retrieval systems at Salesforce and Verloop.io. Currently based in Coimbatore, Tamil Nadu with a 30-day notice period; excellent engagement signals on the platform."
CAND_0011687,18,0.6151,"Product-oriented AI engineer with 7.8 YoE, having shipped search/retrieval systems at Niramai and Krutrim. Currently based in Indore, Madhya Pradesh with a 15-day notice period; excellent engagement signals on the platform."
